Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
29.01.2015;00:00;00:00;97.147,25;35.600;10.958,25;405.875;27.782,5;3.091;270.379,5;361.412,5;236.926,25;46.946;35.334,25;202.850
30.01.2015;00:00;00:00;97.001;37.945,5;1.614,75;88.741,5;13.462,75;3.310,5;264.953,5;431.751,25;305.659,25;58.158,75;32.714;236.388
31.01.2015;00:00;00:00;96.732,5;36.429,25;1.974,5;131.315,25;20.211,75;3.370;249.181,25;415.167;265.512,25;42.136,5;24.233,75;190.122,25
01.02.2015;00:00;00:00;98.474,75;32.457;6.004;114.063,25;24.681;3.440,25;271.631,25;422.167;203.939,75;39.756;20.531,75;155.978,5
02.02.2015;00:00;00:00;98.447,25;32.058,75;8.150,75;189.803,5;20.266,75;3.406,75;273.117,75;437.696,75;294.568;59.962,25;28.659,5;233.172,25
03.02.2015;00:00;00:00;98.246,75;33.587,25;7.582,25;93.829,75;27.528,5;3.382;271.976,5;432.664,25;330.503,25;90.401,25;25.083,25;242.037,25
04.02.2015;00:00;00:00;97.879,75;34.923,75;2.774,25;38.859,5;31.950,25;3.332;273.548,5;418.455,25;349.316,25;105.697;24.115;248.121,75
05.02.2015;00:00;00:00;97.081,25;33.822,75;5.602;112.927,75;29.039;3.410;272.496,5;419.037;339.374,25;87.585,5;31.225;245.107,75
06.02.2015;00:00;00:00;96.877;32.300,5;1.745,25;172.794,5;46.342;3.428,25;272.426,5;425.162,25;320.107,25;62.735,25;30.115;230.200,5
07.02.2015;00:00;00:00;97.028,25;31.498,75;13.894,5;251.384;46.831,25;3.102,5;266.636,25;370.363,75;197.408,75;54.030;27.405,5;159.861,25
08.02.2015;00:00;00:00;97.401;29.634,5;15.964;396.206,5;52.428,5;2.788,5;244.010,25;305.876;108.919,25;46.476;22.993,5;146.572,5
09.02.2015;00:00;00:00;96.572,25;28.714,5;17.228,25;371.386;15.048,75;3.144,5;270.421,5;376.337,5;238.943;60.929,25;27.364,25;213.573,25
10.02.2015;00:00;00:00;97.645,75;30.728,75;10.610;143.115,5;24.127;3.334,75;272.096,75;424.264,5;323.071,75;73.138,75;22.320;235.290,5
11.02.2015;00:00;00:00;97.220,5;30.882,75;760,75;26.261,75;28.009,5;3.273,25;272.679,25;425.961;363.684;84.644,25;28.984,5;245.278,75
12.02.2015;00:00;00:00;96.953;31.503,25;824,75;22.821,25;40.587;3.394,75;272.747,5;427.596,75;371.705,5;68.828,25;34.890,5;240.071,5
13.02.2015;00:00;00:00;96.844,25;32.145,75;8.094;83.745,75;64.533;3.379;272.253,25;425.306,75;339.556;56.802;28.420;233.986,25
14.02.2015;00:00;00:00;97.068,5;29.681,25;10.480,75;106.553;67.186;3.372;271.013,25;398.623;263.928,25;44.114;25.967;179.617
15.02.2015;00:00;00:00;96.376,75;27.404,5;17.464,25;181.931;60.939,25;2.814,75;269.052,75;380.060;182.137,25;38.659;17.545,25;148.541,25
16.02.2015;00:00;00:00;95.810,75;27.673,25;12.911,25;196.276,25;60.863;2.775,5;266.339,25;386.119,75;305.146;53.211,75;22.502,5;213.222,75
17.02.2015;00:00;00:00;95.982,25;30.202;4.633,5;62.855,5;40.311,25;3.039;270.188,25;418.857;344.595,75;65.219;34.787,25;240.480,5
18.02.2015;00:00;00:00;95.458,25;32.459;15.271,25;112.829,5;40.083,75;3.252,25;265.235,5;422.642,5;352.509,5;61.446,5;25.792,25;233.089,5
19.02.2015;00:00;00:00;95.072,25;32.608,75;17.781,25;221.703,5;62.936,75;3.225,5;269.745,75;404.669,25;320.790,75;59.248,25;30.235,75;223.687,5
20.02.2015;00:00;00:00;95.272,5;29.757,25;12.337;320.161,75;79.745,5;3.012,5;266.023,75;381.130;276.530,5;55.250,75;21.711,5;182.648
21.02.2015;00:00;00:00;95.416;27.946,25;4.134,5;274.206,25;49.620,25;2.371;262.397,25;315.799,25;222.901;34.447;30.717,75;165.255,75
22.02.2015;00:00;00:00;95.626,25;28.054;14.439;135.206,75;52.145,75;2.413;261.822,25;363.470,5;195.215,75;33.650,25;23.431,25;166.883,5
23.02.2015;00:00;00:00;95.516,25;28.641,75;16.934,75;354.994,75;28.046,25;2.442,5;261.923,25;360.109;253.738,75;53.687,5;32.132,75;198.405,25
24.02.2015;00:00;00:00;95.486,25;32.121,5;18.267,5;301.874,25;50.806;2.429;265.700;398.854,25;283.582,5;43.762,75;25.534,25;204.075
25.02.2015;00:00;00:00;95.745,5;31.560;7.703;107.150,75;72.248,25;2.425;266.781;419.474,75;302.799;54.238,5;25.690,75;239.301,5
26.02.2015;00:00;00:00;95.407,5;31.472,25;10.017;158.760,75;106.263;2.465,25;267.122,5;431.258,75;303.458,5;44.370,5;28.883,25;214.236
27.02.2015;00:00;00:00;94.913,5;30.837,25;5.551,75;136.599;65.844,25;2.534,75;267.743,25;429.540,75;320.660,25;43.079,25;35.341,5;223.579,75
28.02.2015;00:00;00:00;95.468,5;31.476,75;15.598,5;177.401,75;82.592,5;2.506;261.691,75;428.260,5;177.809,25;39.984,5;23.632;153.534,5
01.03.2015;00:00;00:00;96.327,75;29.791,5;19.627;434.905,25;36.689,25;1.912,25;243.303,75;372.489,75;61.450,5;37.809,25;26.811,25;156.072,25
02.03.2015;00:00;00:00;96.179,75;32.811;18.369,25;483.546,25;65.600,25;2.168,75;263.067,75;406.073;171.471;49.582;32.483,75;164.171,75
03.03.2015;00:00;00:00;95.826;36.694,75;15.562,5;423.001,75;101.145,5;2.540,5;261.889,25;400.688,25;186.193,5;47.628,75;30.890,25;172.452,5
04.03.2015;00:00;00:00;95.813,75;34.798;18.913,75;362.957,25;70.461;2.737,75;264.458,5;434.514,25;217.247;43.562,75;28.395,75;173.240,5
05.03.2015;00:00;00:00;95.492;34.738,5;11.666;161.206;68.652,5;2.936;265.961,75;438.038,75;311.562,5;42.947,75;31.322,75;210.794,75
06.03.2015;00:00;00:00;95.660,25;35.833,75;16.065;119.917,25;65.593,75;3.095,5;265.357,5;426.124,5;328.365,5;40.170,5;34.283,5;203.996,25
07.03.2015;00:00;00:00;95.455,5;33.823,5;20.235;242.499,5;114.555,75;2.186,75;248.187,75;396.709,25;158.838;29.638,75;25.718,75;137.104,75
08.03.2015;00:00;00:00;95.487,5;31.295,5;18.338,75;190.871,75;134.966,5;1.923,25;234.835,75;402.762,5;113.141,75;29.992,5;19.062,5;133.404,75
09.03.2015;00:00;00:00;95.469,25;31.024,25;8.102,25;64.613,5;118.812,25;2.207,5;238.260,5;424.122;299.322,25;40.696,25;31.140,75;213.553,25
10.03.2015;00:00;00:00;95.487,25;31.943,75;16.433,5;128.493,75;97.028,75;2.192,75;239.012,75;417.759,25;334.352;37.159,5;22.352,75;214.986,75
11.03.2015;00:00;00:00;95.021;31.882,25;5.509,75;124.819;114.653,25;2.015;240.035,5;416.777,75;314.527,75;49.298,25;22.891;211.665,5
12.03.2015;00:00;00:00;93.280,75;31.626,25;5.135,5;65.247;104.666,5;1.408,25;240.263,25;416.405,5;336.124,25;41.251,75;23.367,75;220.004
13.03.2015;00:00;00:00;93.673,5;31.801,75;16.207,75;138.819,5;85.051,75;1.415,5;238.941;407.048,25;296.920;47.762,75;37.484,25;215.757,5
14.03.2015;00:00;00:00;94.425,25;32.238,75;17.424,25;128.219,75;41.483,75;2.242,75;238.919,25;387.968;254.355,75;48.536;27.993,75;180.213
15.03.2015;00:00;00:00;94.404,75;30.331,75;19.743,5;215.616;63.374;2.839,25;233.095;365.408,5;128.341,25;41.167,25;21.073,5;133.293,5
16.03.2015;00:00;00:00;93.805,75;30.040;21.364,25;315.808;117.277;2.345,25;236.451,5;346.734,75;207.643,5;52.932,25;35.614;175.325
17.03.2015;00:00;00:00;94.095,5;31.362;12.501,25;178.212;131.458,75;1.952,25;237.540;386.895,25;257.908;50.008,75;32.095,25;194.087,25
18.03.2015;00:00;00:00;94.861,5;32.604;2.474,25;115.569;149.835,5;2.098;237.125,5;427.487,25;284.444,75;48.318,25;23.937,5;207.344,75
19.03.2015;00:00;00:00;94.731,25;32.809,25;5.836;42.162,75;135.883,25;2.419,75;237.845,75;434.289;323.672,5;37.840,25;36.574;224.339
20.03.2015;00:00;00:00;95.396,75;32.165;6.804;26.563,5;123.324,75;2.666;237.210,75;431.248,25;312.790,25;52.417,5;32.213,25;215.854
21.03.2015;00:00;00:00;95.770,75;31.723,75;16.949,25;136.436;75.308,75;2.649,5;228.853,25;420.486,25;215.363,5;37.715,5;27.863;141.038,5
22.03.2015;00:00;00:00;96.167,75;33.745,5;5.133,5;137.065,5;87.079,75;2.493,75;211.994,5;396.392,75;158.132,25;36.609;32.882;132.588,75
23.03.2015;00:00;00:00;95.271;32.382,25;15.134;54.606,5;113.187,5;2.808,5;218.747;397.491,75;308.771,5;53.570,75;33.998,5;198.713
24.03.2015;00:00;00:00;95.451,5;34.454,75;1.422,5;20.841,75;117.004,25;2.599,25;218.375,75;413.611,25;346.743,25;66.248;29.028,75;207.476,75
25.03.2015;00:00;00:00;95.668;33.655;8.023,75;128.680,75;97.623,75;2.286,75;202.798,5;387.404,5;335.265,75;46.447,75;24.689,25;188.347,25
26.03.2015;00:00;00:00;95.189;33.596,5;12.772,75;109.214;38.510,5;2.087,5;216.036,25;395.937;340.923;74.376,5;42.799;205.473,75
27.03.2015;00:00;00:00;95.244,25;34.146;8.522;210.946;76.243,75;2.426;227.273;400.329,75;288.594,5;43.383,75;28.112;175.148,5
28.03.2015;00:00;00:00;94.731;31.772,5;17.147,25;185.383,75;115.419;2.473,5;226.674,5;402.325,75;144.951,75;29.136,25;22.163,75;92.508,25
29.03.2015;00:00;00:00;90.711;29.397;21.215,5;462.892,25;37.867,5;2.040;199.451,5;260.208,5;68.187,25;26.390,75;33.471;92.046,25
30.03.2015;00:00;00:00;94.919;39.090,5;27.639,5;495.187;90.401,75;2.327,75;223.267;268.727,25;114.732,75;31.462,75;29.037,5;128.731,5
31.03.2015;00:00;00:00;95.405;43.001,25;21.807,25;587.563,25;69.416,75;2.204;233.413,5;294.732,5;99.733;45.854,25;20.983,75;141.181
01.04.2015;00:00;00:00;95.954,25;45.680,25;24.753;561.974,25;98.711,75;3.137,25;236.737,5;298.598,75;83.847,25;49.334;27.522;130.190
02.04.2015;00:00;00:00;95.671;43.250,25;21.618,75;405.433;81.687;3.325;243.586;343.983,5;138.629,75;35.883,5;32.839,5;136.205,5
03.04.2015;00:00;00:00;95.935,75;43.028,25;8.902,75;173.752,5;140.230,25;3.565,75;229.414,5;350.189,25;103.946;32.644;30.956,5;127.336,25
04.04.2015;00:00;00:00;96.550,25;41.892,25;6.519,25;80.485;96.848,75;4.124;214.026,25;386.535;138.124,75;34.889;23.294,75;135.379,75
05.04.2015;00:00;00:00;96.452,5;39.057;2.589,5;71.704,75;151.389,25;3.492;208.145,5;347.935,75;94.296,75;31.105,5;24.298,5;126.034,5
06.04.2015;00:00;00:00;96.175,5;38.527,5;1.411,5;78.637,25;111.569;3.630,25;210.426;359.472,75;114.228,75;31.919;17.313,25;130.090
07.04.2015;00:00;00:00;95.937,5;38.339,25;8.714,5;136.328,75;159.794,25;3.547,5;221.939,5;381.876,75;227.317,25;34.694;26.660,25;179.377,5
08.04.2015;00:00;00:00;95.131;37.787;7.174,75;83.519,75;125.822,75;4.011;231.791,5;379.756,75;298.939,25;37.088;27.415;208.947,25
09.04.2015;00:00;00:00;95.530,75;37.424;413,75;24.183,25;175.448,25;3.866,25;236.685,5;389.494,75;296.474;32.644,5;29.016;208.016,75
10.04.2015;00:00;00:00;95.881,5;39.002,25;1.407;31.473,75;180.738,5;3.326,75;236.795,75;366.333,75;299.593,5;31.287;19.679,75;185.494,5
11.04.2015;00:00;00:00;95.566,25;40.682,5;18.923;315.520,25;112.847,75;2.842,25;206.129;327.969,5;97.976,25;25.776,75;25.902,25;111.399
12.04.2015;00:00;00:00;96.158,75;39.753,75;27.099;254.870,75;159.132,25;2.859;207.761,25;262.834,5;58.134,75;24.943;27.027;105.333
13.04.2015;00:00;00:00;95.900,25;40.416;19.253,5;356.613,5;144.957,75;2.959,25;219.290,5;300.063,75;171.937;32.390;29.346,25;125.896,5
14.04.2015;00:00;00:00;94.181,25;41.337,5;24.728;182.085,75;168.192;3.077,5;229.286;382.170;237.856,25;31.730,5;29.668,25;139.004,25
15.04.2015;00:00;00:00;93.543,75;42.238;25.588;267.059,25;193.769,75;2.914;231.066,75;355.365,75;198.637;29.467,75;34.315;130.778,5
16.04.2015;00:00;00:00;93.875,5;41.352;11.884;132.417,25;147.322,75;2.677,5;235.632,25;366.564,5;264.062,25;28.164;34.021,5;172.451
17.04.2015;00:00;00:00;93.684,25;42.629;15.815,25;132.234,25;104.331,75;2.439,5;236.762,5;355.593,25;293.171,25;25.906;31.895;187.515,75
18.04.2015;00:00;00:00;94.910,75;47.190;8.745;82.986;169.882,25;2.500;232.637,25;306.747,5;111.957,5;22.089,75;24.351,5;127.292,5
19.04.2015;00:00;00:00;95.886,25;41.962,75;5.858;42.582,5;198.880,5;2.491;227.557,5;302.837,5;91.474;23.349;19.463,75;129.561,25
20.04.2015;00:00;00:00;95.014,25;40.229;5.606,25;108.455,75;205.496,5;2.937,75;235.244;350.200;216.984,75;27.824,75;32.184;175.605,25
21.04.2015;00:00;00:00;94.217;40.312,75;18.501,25;198.295,25;206.990,5;3.155,75;233.257;338.250;212.594,75;27.094;27.520;163.491
22.04.2015;00:00;00:00;94.137,25;39.621,75;19.311,5;100.077,5;160.095,5;3.207,25;235.084,25;351.010,75;283.854;26.887,25;24.773,75;181.892,25
23.04.2015;00:00;00:00;93.622,5;40.269,25;5.067,25;49.211;175.934,75;3.208,75;236.083,5;348.893,25;300.738;19.734;28.048,5;181.983
24.04.2015;00:00;00:00;94.584,75;40.383,75;4.869,75;47.188,25;199.568,75;3.240,75;234.310;342.147,75;278.714,25;20.127,75;31.810,25;170.835,75
25.04.2015;00:00;00:00;95.080;39.392;23.583;126.243,25;94.439;2.924,25;227.913;295.230,25;144.528,25;14.330,25;24.921,25;112.119,5
26.04.2015;00:00;00:00;94.821,75;38.457,25;3.390,5;71.348,5;128.818,5;3.017,25;226.420,25;302.627;89.068,75;15.700,75;25.245,75;113.509,25
27.04.2015;00:00;00:00;95.349,25;41.888;7.775,25;117.831,25;115.393,75;3.276,25;232.424,75;315.428,5;274.875,75;20.511,5;30.994,75;160.872,75
28.04.2015;00:00;00:00;95.589,5;47.208,25;14.302,5;116.806,5;106.754,25;3.335,75;234.807,5;328.383;315.909,75;23.588,75;22.797,75;174.153
29.04.2015;00:00;00:00;94.916,25;46.790,25;23.490;125.537,5;188.718,75;3.179,75;233.810,5;333.858,25;269.676,75;29.206;26.899,5;154.092,25
30.04.2015;00:00;00:00;95.132;45.922,25;11.204,5;149.524;131.622,25;3.295;233.335,25;330.392,5;286.777,75;29.893,75;33.726,75;150.109,5
01.05.2015;00:00;00:00;95.595,5;44.797;4.751,25;64.240,75;103.279;3.011;231.484,75;292.070,25;89.833,75;25.059,25;26.127,25;106.475
02.05.2015;00:00;00:00;95.588,5;43.972,5;3.235,75;32.342,25;143.595,5;3.059;220.995,75;286.803,75;83.213;25.516,25;23.623,5;110.221,25
03.05.2015;00:00;00:00;95.365;46.322;25.290;187.458,25;88.594,25;2.803,75;202.600,25;260.052,75;72.949;23.770;31.205,75;115.408,5
04.05.2015;00:00;00:00;94.440,5;46.411,25;24.163,75;172.313,5;138.403,75;2.826,75;229.601;308.251;240.325,25;24.637,75;32.771,25;134.327,75
05.05.2015;00:00;00:00;94.386;48.636,75;33.970,25;355.272,75;107.215,75;2.742,25;231.338,25;325.503;136.784,25;25.215,75;35.864,25;117.638,25
06.05.2015;00:00;00:00;93.345;49.234,75;33.248,75;259.048,5;145.293,25;2.815,5;232.539,75;335.768;135.731;24.714;23.770,5;110.852,5
07.05.2015;00:00;00:00;93.797,5;48.541,25;24.880,25;264.513,25;162.957,25;2.802,75;228.883,75;333.391,25;149.385,25;24.329,25;30.114;121.341,75
08.05.2015;00:00;00:00;94.274;48.933,25;5.199,25;37.388,25;176.127,5;2.821;233.722,25;319.550,75;174.205,25;25.492;27.311,25;126.537,5
09.05.2015;00:00;00:00;94.066,75;49.701,75;33.443,5;237.342;113.681,75;2.520;229.457,5;265.431,75;64.516,75;29.673,75;25.777,5;108.995,75
10.05.2015;00:00;00:00;95.094;50.469,25;19.386,75;240.479,5;181.401,75;2.519;197.062,75;219.770,5;44.894;22.632,5;27.857;99.101,5
11.05.2015;00:00;00:00;94.471,25;49.420,5;25.937;137.913,5;189.039;2.512,5;232.227;325.603,5;134.000,5;31.581,25;29.917;136.790,5
12.05.2015;00:00;00:00;93.615,5;49.736,75;21.720,25;251.837,25;161.219,5;2.454,25;230.248,5;318.967,5;142.209;35.398,75;28.601;118.788,25
13.05.2015;00:00;00:00;94.410,75;50.675,75;30.379;202.877;177.508,5;2.482,25;230.957;310.436,5;121.878;34.239;29.276,25;129.800,5
14.05.2015;00:00;00:00;94.063;50.972;11.681;72.136,5;145.414,75;2.527;231.216,5;299.964,25;77.799;25.899,75;25.319,75;103.978,25
15.05.2015;00:00;00:00;93.876,75;50.289,75;3.928;51.934,5;145.866,5;2.550,5;230.278,25;314.063,75;111.691,25;22.792;37.944,75;110.738,25
16.05.2015;00:00;00:00;94.288,5;49.900;17.997,75;156.868,5;138.179,75;2.533,25;228.351;262.796;52.824,75;26.068,75;23.108,5;110.236
17.05.2015;00:00;00:00;94.555,5;50.963,25;21.044,75;220.352,5;149.477,25;2.540,25;216.897,25;215.908;40.489;24.277,25;25.230,75;102.468,25
18.05.2015;00:00;00:00;95.184,25;51.808;17.098,25;129.047,75;182.097,5;2.464;227.177;311.842,25;153.710,25;35.321,25;27.728,25;132.177
19.05.2015;00:00;00:00;94.866,25;52.194;18.660;233.109;125.099,25;2.465,75;226.328;305.813,5;184.265,5;29.838,25;26.545,75;145.613,75
20.05.2015;00:00;00:00;94.953;48.444,75;11.145,5;82.522,25;105.491,75;2.471,25;228.266,5;306.847,75;247.550,75;28.695,25;32.768,75;184.011
21.05.2015;00:00;00:00;94.739,25;47.347,25;7.215;67.080,5;140.319,25;2.456,75;229.943,75;298.451,5;247.702;28.738,25;37.922,5;182.111,25
22.05.2015;00:00;00:00;94.718,5;49.966,5;9.962,25;31.278,75;176.991,25;2.554,75;229.285,25;273.232;249.153,75;30.128,75;28.028;149.485,75
23.05.2015;00:00;00:00;95.924,75;51.973,5;8.162;62.002,5;119.797,25;2.564,25;226.591,75;248.663,25;105.664,25;30.449,5;23.633,5;118.907,25
24.05.2015;00:00;00:00;96.940,75;51.065,25;5.296,25;18.131,25;143.268,75;2.555,75;218.632;227.559;84.443;27.108,5;25.257,25;101.267,75
25.05.2015;00:00;00:00;97.206;53.103,5;6.160,25;63.300,75;113.395,25;2.537;224.728;234.526,75;99.653;19.520,5;23.328;104.976
26.05.2015;00:00;00:00;95.803,25;51.819,25;19.153;121.745,5;110.495;2.546,5;225.751,5;274.074,75;239.327,5;22.899;34.316,75;155.984
27.05.2015;00:00;00:00;95.319;48.507;12.678;113.729;117.913,25;2.561;225.302;310.235;265.069,25;30.273,75;37.569,25;158.582,75
28.05.2015;00:00;00:00;95.534,25;48.370;28.737;232.526;165.646;2.541,75;221.794;305.458,75;220.590,5;33.801,5;32.897,75;128.295,25
29.05.2015;00:00;00:00;96.021,25;48.547,75;20.312,5;129.572,25;147.593,5;2.467,75;221.465,75;312.746,25;223.938,5;32.994,25;31.883,25;142.803,25
30.05.2015;00:00;00:00;95.984,25;48.712,75;29.997,25;233.138,75;140.754;2.419,5;193.348,5;274.429,25;60.440,75;32.278,75;30.651,5;117.731,75
31.05.2015;00:00;00:00;96.504;47.212,75;30.318,25;236.140;155.473;2.425,5;194.312,5;257.589;40.856,75;32.796,75;22.556,5;103.956
01.06.2015;00:00;00:00;94.493,5;46.664,25;22.989,5;141.256;132.071;2.300,5;221.646,25;307.574;218.214,75;29.014;30.957,75;143.409,5
02.06.2015;00:00;00:00;92.154,75;49.281,75;29.596,25;424.788;154.355,25;2.288,75;216.259,75;304.462;85.315;29.207;29.393;122.203,75
03.06.2015;00:00;00:00;89.222;50.739,25;26.823,25;323.231;177.704,75;2.241;217.771,25;311.277,25;108.388,5;27.350,25;31.036,75;133.985
04.06.2015;00:00;00:00;93.640;50.534;2.418,5;41.775;218.297,75;2.241,5;215.275,75;336.703;107.379,5;28.634,5;33.074;112.596
05.06.2015;00:00;00:00;92.216,25;49.059;18.600,75;134.855,25;216.419,25;2.225;216.137,25;333.919,75;103.980,75;28.426;37.450,75;126.992
06.06.2015;00:00;00:00;92.023;48.586,5;24.224,25;168.864,75;181.009,75;2.249;214.536,5;303.521,75;77.564;26.261,5;30.245;97.962,5
07.06.2015;00:00;00:00;92.687,5;46.499,5;19.004,75;90.963,75;186.589,75;2.212,5;210.763;281.204,75;60.139;26.271;28.583,75;99.463
08.06.2015;00:00;00:00;91.577,5;46.392;15.803,5;142.078,75;119.035,5;2.268,75;217.632;330.963;216.731,25;29.736;27.415;153.079,25
09.06.2015;00:00;00:00;90.151,5;45.652;11.313,75;101.304;97.875,5;2.524;219.514,5;341.631,75;245.201,75;32.515,5;32.838,5;192.883,75
10.06.2015;00:00;00:00;89.954,5;48.729,5;9.874;74.324,5;143.399;2.868,75;217.880;349.217,75;253.309;28.644,5;29.281,25;188.483,5
11.06.2015;00:00;00:00;91.738,5;50.428,25;4.710,25;55.090,5;172.317,75;2.838,25;216.931,25;329.313,25;266.220,75;28.220,75;32.084,25;186.848,25
12.06.2015;00:00;00:00;92.208,5;49.637,25;8.783;46.994;199.814,75;2.813;215.402;327.440,25;272.733,25;28.199,25;30.970,75;176.483
13.06.2015;00:00;00:00;91.771;50.103,75;23.139,5;114.343,5;143.344;2.541;206.699;311.725,5;87.656,75;22.813,5;22.887,25;106.759,25
14.06.2015;00:00;00:00;92.758;50.527,25;14.474,25;103.283,25;166.147,25;2.542,5;203.701;283.104,5;61.658,75;24.163;24.254,5;107.221,25
15.06.2015;00:00;00:00;92.328;51.296,75;19.495,25;97.091,75;133.095,75;2.721,5;209.943,75;324.649,25;224.080;27.879;28.590;154.806,25
